#,Company Name,Website,Primary Contact Role,Secondary Contact Role,Business Type,Messaging Focus,Key Pain Points,Primary Contact LinkedIn,Initial Message Sent,Follow-up Sent
55,PetFinder Foundation,petfinderfoundation.com,Program Director,Tech Team,Non-Profit,"Grant accessibility, donor experience","Non-profit compliance, mission-critical",https://www.linkedin.com/company/petfinder.com,False,False
56,Best Friends Animal Society,bestfriends.org,Digital Director,Accessibility Coordinator,Animal Welfare,"Advocacy + accessibility, no-kill mission","Large non-profit, national reach",https://www.linkedin.com/in/jessieearl/,False,False
57,ASPCA,aspca.org,VP of Digital,Compliance Officer,Animal Welfare,"Donor accessibility, advocacy","Major non-profit, legal scrutiny",https://www.linkedin.com/in/hartmannjj/,False,False
58,Humane Society,humanesociety.org,Chief Digital Officer,Web Accessibility,Animal Welfare - National,"Legislative content accessibility, advocacy","Political content, broad audience",https://www.linkedin.com/in/nicole-paquette/,False,False
59,RedRover,redrover.org,Executive Director,Communications,Emergency Pet Relief,"Crisis services accessibility, urgent needs","Emergency services, accessibility critical",https://www.linkedin.com/company/rover-com,False,False
60,Petco Foundation,petcofoundation.org,Foundation Director,Digital Lead,Pet Charity,"Adoption + grant accessibility, transparency","Foundation compliance, corporate backing",https://petcolove.org,False,False
61,Banfield Pet Hospital,banfield.com,VP Digital Health,Compliance Manager,Veterinary Services,"Medical portal accessibility, HIPAA + ADA","Healthcare provider, dual compliance",https://www.linkedin.com/company/banfield-pet-hospital,False,False
62,VCA Animal Hospitals,vcahospitals.com,Digital Experience Lead,Legal Compliance,Veterinary Chain,"Appointment booking accessibility, multi-location","Healthcare + multi-location, complex",https://www.linkedin.com/in/brendantlynch/,False,False
63,BluePearl,bluepearlvet.com,IT Director,Operations,Emergency Vet,"Emergency services accessibility, urgent care","Critical services, 24/7 access needed",https://www.linkedin.com/company/bluepearl-vet,False,False
64,PetVet365,petvet365.com,Technology Director,Compliance,Veterinary Care,"Pet parent portal accessibility, records access","Medical records, privacy compliance",https://www.linkedin.com/company/petvet365,False,False
65,Fuzzy,fuzzy.com,CTO,Product Manager,Telehealth for Pets,"Telemedicine accessibility, video consultations","Digital health, video accessibility",https://www.linkedin.com/company/fuzzy,False,False
66,Vetster,vetster.com,VP of Product,Engineering Lead,Virtual Vet,"Video consultation accessibility, booking","International platform, WCAG compliance",https://www.linkedin.com/company/vetster,False,False
67,Pawp,pawp.com,Head of Product,Customer Experience,Emergency Telehealth,"Emergency text/video accessibility, urgent","24/7 emergency, critical access",https://www.linkedin.com/company/pawp,False,False
68,Dutch,dutch.com,CTO,Compliance Officer,Online Pet Pharmacy,"Telehealth + pharmacy, prescription access","Healthcare compliance, controlled substances",https://www.crunchbase.com/person/joe-spector,False,False
69,Lemonade Pet Insurance,lemonade.com/pet,Product Manager,Legal Team,Pet Insurance,"Policy accessibility, claims process","InsurTech, digital-first, regulatory",https://www.linkedin.com/in/sarah-baker-688a99143/,False,False
70,Nationwide Pet Insurance,petinsurance.com,VP Digital,Compliance Director,Pet Insurance,"Policy documents accessibility, senior market",Insurance regulations + ADA,https://www.linkedin.com/in/rebecca-lilis-32198b4/,False,False
71,Embrace Pet Insurance,embracepetinsurance.com,Marketing Director,Web Development,Pet Insurance,"Claims accessibility, customer portal","Customer service, complex products",https://www.linkedin.com/in/davidjrodgers/,False,False
72,Trupanion,trupanion.com,Digital Product Lead,Accessibility Team,Pet Insurance,"Real-time claims accessibility, vet integration","Vet software integration, B2B + B2C",https://www.linkedin.com/in/margi-tooth-a3468811/,False,False
73,ASPCA Pet Health Insurance,aspcapetinsurance.com,E-commerce Manager,Operations,Pet Insurance,"Trusted brand, policy accessibility","ASPCA brand standards, trust",https://www.linkedin.com/in/hartmannjj/,False,False
74,Petplan,gopetplan.com,Digital Director,Customer Experience,Pet Insurance,"Comprehensive coverage, senior pets","Older pet market, complex claims",https://www.linkedin.com/company/petplanuk,False,False
75,Figo Pet Insurance,figopetinsurance.com,Head of Digital,Product Team,Pet Insurance,"App accessibility, digital-first","Mobile-first, young demographic",https://www.crunchbase.com/person/loren-kirkby,False,False
76,Pumpkin Pet Insurance,pumpkin.care,CTO,Compliance Lead,Pet Insurance + Wellness,"Preventive care accessibility, modern brand","Wellness + insurance, bundled",https://www.linkedin.com/company/pumpkinpets,False,False
77,Pets Best,petsbest.com,E-commerce Lead,Marketing,Pet Insurance,"Value + accessibility, direct marketing","Price-sensitive market, conversions",,False,False
78,Spot Pet Insurance,spotpetins.com,Product Manager,Engineering,Pet Insurance,"Instant quotes, streamlined UX","Quick quotes, seamless experience",https://www.linkedin.com/in/scotttaylor714/,False,False
79,PetFirst,petfirst.com,Operations Manager,Web Team,Pet Insurance,"Regional focus, personal service","Smaller player, personalization",https://www.crunchbase.com/person/loren-kirkby,False,False
80,Bivvy,bivvy.com,Head of Product,Customer Success,Budget Pet Insurance,"Affordable accessibility, value market","Low-cost, must maintain quality UX",https://www.linkedin.com/company/bivvy-pet-insurance,False,False
81,Wag!,wagwalking.com,CTO,Product Lead,Dog Walking Platform,"Gig worker + pet parent accessibility, booking","Two-sided marketplace, accessibility",https://www.linkedin.com/company/wag-group-co,False,False
82,Rover,rover.com,VP of Product,Engineering Director,Pet Sitting Platform,"Booking accessibility, trust & safety","Marketplace model, peer-to-peer",https://www.linkedin.com/company/rover-com,False,False
83,Care.com Pets,care.com/pets,Product Director,Compliance Manager,Pet Care Marketplace,"Multi-service accessibility, background checks","Marketplace + screening, trust",https://www.linkedin.com/company/care-com,False,False
84,Fetch by The Dodo,fetchpet.com,Head of Product,Brand Team,Pet Care + Content,"Content + commerce accessibility, millennial","Media brand, affiliate commerce",https://www.linkedin.com/company/fetch-pet-insurance,False,False
85,DogVacay (part of Rover),rover.com,Integration Lead,Operations,Pet Boarding,"Merged platform accessibility, legacy users","Platform migration, consistency",https://www.linkedin.com/company/rover-com,False,False
86,Paw.com,paw.com,Founder,Tech Lead,Pet Wellness,"Holistic wellness accessibility, membership","Wellness model, subscription",https://www.linkedin.com/company/pawdotcom,False,False
87,Petcube,petcube.com,VP of Product,Engineering,Pet Camera + Care,"IoT + app accessibility, tech product","Hardware + software, tech UX",https://www.linkedin.com/in/andreyklen/,False,False
88,Furbo,furbo.com,Digital Marketing,Product Team,Pet Camera,"Smart home accessibility, IoT","Tech product, international",https://www.linkedin.com/company/tomofun,False,False
89,Whistle,whistle.com,Product Manager,Compliance,Pet GPS + Health,"Health tracking accessibility, data visualization","Wearable tech, data privacy",https://www.linkedin.com/in/kevin-lloyd,False,False
90,Fi,tryfi.com,CTO,Customer Experience,Dog GPS Collar,"GPS tracking accessibility, outdoor market","Active lifestyle, adventure focus",https://www.crunchbase.com/person/loren-kirkby,False,False
91,Link AKC,linkakc.com,Digital Product Lead,Operations,Smart Collar,"AKC partnership, breed registry","Partnership platform, data integration",,False,False
92,BarkBox,barkshop.com,E-commerce Director,Product Manager,Dog Toys + Treats,"Curated experience, subscription + retail","Dual channel, brand experience",https://www.linkedin.com/in/markhanna2/,False,False
93,BullySticks.com,bullysticks.com,Owner,Marketing Manager,Dog Treats Specialist,"Niche product accessibility, bulk orders","Specialty treats, education",,False,False
94,BestBullySticks,bestbullysticks.com,Operations Lead,Customer Service,Dog Chews,"Product variety accessibility, wholesale + retail","B2B + B2C, complex pricing",https://www.linkedin.com/company/best-bully-sticks,False,False
95,Chewy Pharmacy,chewy.com/pharmacy,Pharmacy Director,Compliance Officer,Pet Pharmacy,"Prescription management, auto-refill","Pharmacy compliance, medical",https://www.linkedin.com/in/susan-helfrick-9a17437/,False,False
96,Petco Pharmacy,petco.com/pharmacy,Pharmacy Manager,Digital Health,Pet Pharmacy,"Integrated retail + pharmacy, omnichannel","Physical + online pharmacy, complex",https://www.linkedin.com/in/lauracpickard/,False,False
97,Amazon Pets,amazon.com/pets,Category Manager,Accessibility Team,Major E-commerce,"Everything store accessibility, competitive prices","Amazon standards, massive scale",https://www.linkedin.com/in/eleanor-goode-009b2212/,False,False
98,Walmart Pets,walmart.com/pets,Digital Director,Compliance,Major E-commerce,"Value + accessibility, omnichannel","Retail giant, corporate standards",https://www.linkedin.com/in/elizabethareilly/,False,False
99,Target Pets,target.com/pets,Category Lead,Digital Experience,Major E-commerce,"Style + value, designer collaborations","Design focus, guest experience",https://www.linkedin.com/company/target,False,False
100,Costco Pets,costco.com/pets,E-commerce Manager,Membership Services,Warehouse Club,"Membership accessibility, bulk","Members-only, unique model",https://www.linkedin.com/company/costco-wholesale,False,False
